Index,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,zipcode,clusters,cluster
0,221900,3,1,1180,5650,1,1955,98178,0,blush
1,538000,3,2.25,2570,7242,2,1951,98125,3,purple
2,180000,2,1,770,10000,1,1933,98028,0,blush
3,604000,4,3,1960,5000,1,1965,98136,3,purple
4,510000,3,2,1680,8080,1,1987,98074,3,purple
5,1225000,4,4.5,5420,101930,1,2001,98053,1,pink
6,257500,3,2.25,1715,6819,2,1995,98003,0,blush
7,291850,3,1.5,1060,9711,1,1963,98198,0,blush
8,229500,3,1,1780,7470,1,1960,98146,0,blush
9,323000,3,2.5,1890,6560,2,2003,98038,0,blush
10,662500,3,2.5,3560,9796,1,1965,98007,3,purple
11,468000,2,1,1160,6000,1,1942,98115,3,purple
12,310000,3,1,1430,19901,1.5,1927,98028,0,blush
13,400000,3,1.75,1370,9680,1,1977,98074,0,blush
14,530000,5,2,1810,4850,1.5,1900,98107,3,purple
15,650000,4,3,2950,5000,2,1979,98126,3,purple
16,395000,3,2,1890,14040,2,1994,98019,0,blush
17,485000,4,1,1600,4300,1.5,1916,98103,3,purple
18,189000,2,1,1200,9850,1,1921,98002,0,blush
19,230000,3,1,1250,9774,1,1969,98003,0,blush
20,385000,4,1.75,1620,4980,1,1947,98133,0,blush
21,2000000,3,2.75,3050,44867,1,1968,98040,1,pink
22,285000,5,2.5,2270,6300,2,1995,98092,0,blush
23,252700,2,1.5,1070,9643,1,1985,98030,0,blush
24,329000,3,2.25,2450,6500,2,1985,98030,0,blush
25,233000,3,2,1710,4697,1.5,1941,98002,0,blush
26,937000,3,1.75,2450,2691,2,1915,98119,2,mauve
27,667000,3,1,1400,1581,1.5,1909,98112,3,purple
28,438000,3,1.75,1520,6380,1,1948,98115,3,purple
29,719000,4,2.5,2570,7173,2,2005,98052,2,mauve
30,580500,3,2.5,2320,3980,2,2003,98027,3,purple
31,280000,2,1.5,1190,1265,3,2005,98133,0,blush
32,687500,4,1.75,2330,5000,1.5,1929,98117,2,mauve
33,535000,3,1,1090,3000,1.5,1929,98117,3,purple
34,322500,4,2.75,2060,6659,1,1981,98058,0,blush
35,696000,3,2.5,2300,3060,1.5,1930,98115,2,mauve
36,550000,4,1,1660,34848,1,1933,98052,3,purple
37,640000,4,2,2360,6000,2,1904,98107,3,purple
38,240000,4,1,1220,8075,1,1969,98001,0,blush
39,605000,4,2.5,2620,7553,2,1996,98056,3,purple
40,625000,4,2.5,2570,5520,2,2000,98074,3,purple
41,775000,4,2.25,4220,24186,1,1984,98166,2,mauve
42,861990,5,2.75,3595,5639,2,2014,98053,2,mauve
43,685000,3,1,1570,2280,2,1922,98119,2,mauve
44,309000,3,1,1280,9656,1,1959,98058,0,blush
45,488000,3,2.5,3160,13603,2,2003,98019,3,purple
46,210490,3,1,990,8528,1,1966,98023,0,blush
47,785000,4,2.5,2290,13416,2,1981,98007,2,mauve
48,450000,3,1.75,1250,5963,1,1953,98115,3,purple
49,1350000,3,2.5,2753,65005,1,1953,98070,1,pink
50,228000,3,1,1190,9199,1,1955,98148,0,blush
